_id,Unnamed: 0,nyt_id,title,Amazon_url,author,publisher,description,published_date,bestseller_date,rank,rank_last_week,weeks_on_list,NYT_Price,Amazon_Price,Amazon_reviews,Amazon_rating,Amazon_Discount%
ObjectId("5c80968cd5cf373b2803c3c8"),56,5b4aa4ead3089013507db23c,A THOUSAND SPLENDID SUNS,http://www.amazon.com/Thousand-Splendid-Suns-Khaled-Hosseini/dp/159448385X?tag=NYTBS-20,Khaled Hosseini,Riverhead,A friendship between two Afghan women — born a generation apart and with very different ideas about love and family — against the backdrop of 30 years of war.,1217721600000,1216425600000,18,0,0,0,1.99,4704,4.7,Infinity
ObjectId("5c80968cd5cf373b2803c3c9"),57,5b4aa4ead3089013507db23f,THE SECRET SERVANT,http://www.amazon.com/Secret-Servant-Gabriel-Allon-Novels/dp/0451224507?tag=NYTBS-20,Daniel Silva,Putnam,Gabriel Allon, an art restorer and an occasional spy for the Israeli secret service, uncovers a Russian arms sales plot.,1218326400000,1217030400000,1,0,1,26.95,9.99,828,4.7,37.07
ObjectId("5c80968cd5cf373b2803c3ca"),58,5b4aa4ead3089013507db245,INTO THE FIRE,http://www.amazon.com/Into-Fire-Troubleshooters-Book-13/dp/0345501535?tag=NYTBS-20,Suzanne Brockmann,Ballantine,A former employee of an elite security company comes out of hiding to confront a murderous neo-Nazi group.,1218326400000,1217030400000,7,0,1,25,7.99,127,4.3,31.96
ObjectId("5c80968cd5cf373b2803c3cb"),59,5b4aa4ead3089013507db246,DAMAGE CONTROL,http://www.amazon.com/Damage-Control-Joanna-Brady-Mysteries/dp/0060746769?tag=NYTBS-20,J A Jance,Morrow,An elderly couple’s suicide-by-accident in the mountains is not what it appears; the 13th Joanna Brady mystery.,1218326400000,1217030400000,8,0,1,25.95,9.99,241,4.6,38.5
ObjectId("5c80968cd5cf373b2803c3cc"),60,5b4aa4ead3089013507db250,BY SCHISM RENT ASUNDER,http://www.amazon.com/Schism-Rent-Asunder-David-Weber/dp/0765315017?tag=NYTBS-20,David Weber,Tor,NaN,1218326400000,1217030400000,18,0,0,0,8.99,203,4.2,Infinity
ObjectId("5c80968cd5cf373b2803c3cd"),61,5b4aa4ead3089013507db254,THE BOURNE SANCTION,http://www.amazon.com/Bourne-Sanction-Eric-Van-Lustbader/dp/B002GPYJ8Q?tag=NYTBS-20,Eric Van Lustbader,Grand Central,Robert Ludlum’s character Jason Bourne pursues the leader of a Muslim terrorist group.,1218931200000,1217635200000,2,0,1,25.99,2.09,176,3.9,8.04
ObjectId("5c80968cd5cf373b2803c3ce"),62,5b4aa4ead3089013507db257,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,http://www.amazon.com/Guernsey-Literary-Potato-Peel-Society/dp/0385340990?tag=NYTBS-20,Mary Ann Shaffer and Annie Barrows,Dial,After World War II, a journalist travels to the island of Guernsey to meet residents who resisted the Nazi occupation.,1218931200000,1217635200000,5,0,1,22,12.99,4907,4.7,59.05
ObjectId("5c80968cd5cf373b2803c3cf"),63,5b4aa4ead3089013507db259,THE LACE READER,http://www.amazon.com/The-Lace-Reader-A-Novel/dp/0061624772?tag=NYTBS-20,Brunonia Barry,Morrow,Secrets of a family of Salem women who foresee the future.,1218931200000,1217635200000,7,0,1,24.95,9.99,633,4,40.04
ObjectId("5c80968cd5cf373b2803c3d0"),64,5b4aa4ead3089013507db25f,THE CLONE WARS,http://www.amazon.com/The-Clone-Wars-Star/dp/034550898X?tag=NYTBS-20,Karen Traviss,Del Rey,In the years before “Revenge of the Sith,” the Republic does battle with an army of cloned soldiers; a “Star Wars” novel.,1218931200000,1217635200000,13,0,1,20,9.99,75,4.2,49.95
ObjectId("5c80968cd5cf373b2803c3d1"),65,5b4aa4ead3089013507db261,FRACTURED,http://www.amazon.com/Fractured-Karin-Slaughter/dp/0385341954?tag=NYTBS-20,Karin Slaughter,Delacorte,An Atlanta detective pursue’s a teenage girl’s killer.,1218931200000,1217635200000,15,0,1,25,9.99,454,4.5,39.96
ObjectId("5c80968cd5cf373b2803c3d2"),66,5b4aa4ead3089013507db267,ACHERON,http://www.amazon.com/Acheron-Dark-Hunter-Book-Sherrilyn-Kenyon/dp/0312949413?tag=NYTBS-20,Sherrilyn Kenyon,St. Martin’s,Book 12 of the Dark-Hunter paranormal series.,1219536000000,1218240000000,1,0,1,24.95,8.99,1163,4.7,36.03
ObjectId("5c80968cd5cf373b2803c3d3"),67,5b4aa4ead3089013507db26f,FOREIGN BODY,http://www.amazon.com/Foreign-Body-Robin-Cook/dp/0425228959?tag=NYTBS-20,Robin Cook,Putnam,A medical student investigates a rising number of deaths among medical tourists at foreign hospitals.,1219536000000,1218240000000,9,0,1,25.95,8.99,116,3.1,34.64
ObjectId("5c80968cd5cf373b2803c3d4"),68,5b4aa4ead3089013507db272,THE ASSASSIN,http://www.amazon.com/The-Assassin-Novel-Stephen-Coonts/dp/031299446X?tag=NYTBS-20,Stephen Coonts,St. Martin’s,A top Qaeda terrorist pursues the Western leaders who are trying to defeat him.,1219536000000,1218240000000,12,0,1,0,9.99,119,4.2,Infinity
ObjectId("5c80968cd5cf373b2803c3d5"),69,5b4aa4ead3089013507db274,THE GARGOYLE,http://www.amazon.com/The-Gargoyle-Andrew-Davidson/dp/0385524943?tag=NYTBS-20,Andrew Davidson,Doubleday,A hideously burned man is cared for by a sculptress who claims they were lovers seven centuries ago.,1219536000000,1218240000000,14,0,1,25.95,9.99,591,4.5,38.5
